                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1749,                 4.3446,                 2.6174,                0.66014,                0.23333,                0.15453,                0.03446,                  2.941,                 2.7309,                 3.3615,               0.070545,              0.0032727,              0.0032727
                      1,                 1.5361,                 2.0678,                 2.0712,                0.17993,                0.29444,                0.15742,                0.05555,                 2.4901,                 3.2438,                 3.0382,               0.040284,              0.0063445,              0.0063445
                      2,                 1.4121,                 1.9439,                 1.9567,                0.50987,                0.25556,                0.28248,                 0.1056,                 2.5867,                 3.3742,                 3.3069,              0.0097583,              0.0091522,              0.0091522
                      3,                 1.3703,                 1.7729,                 1.9498,                0.70174,                    0.3,                0.21948,                0.06484,                 2.8373,                 4.3842,                 3.6616,               0.008812,               0.008812,               0.008812
                      4,                 1.2901,                 1.6613,                 1.8871,                0.19653,                0.50556,                0.22417,                0.07366,                 2.3452,                 2.9141,                 3.3611,               0.008812,               0.008812,               0.008812
                      5,                 1.2766,                 1.6097,                 1.8863,                0.49947,                0.36111,                0.37886,                0.12701,                 2.1932,                 2.4573,                 2.9714,               0.008416,               0.008416,               0.008416
                      6,                 1.2337,                 1.6012,                  1.867,                0.28798,                0.22778,                0.24093,                0.06833,                 2.8466,                 2.4827,                 3.3665,                0.00802,                0.00802,                0.00802
                      7,                  1.179,                 1.4676,                 1.8152,                0.30504,                0.33889,                0.25822,                 0.0988,                 2.3841,                 2.6967,                 3.1276,               0.007624,               0.007624,               0.007624
                      8,                 1.1562,                 1.4262,                 1.7891,                0.33838,                0.50272,                0.33998,                0.11938,                 2.1521,                 2.3504,                 3.1658,               0.007228,               0.007228,               0.007228
                      9,                 1.1389,                 1.3896,                 1.7699,                0.31911,                0.32222,                0.25994,                 0.1235,                 2.2631,                 3.1658,                 3.1887,               0.006832,               0.006832,               0.006832
                     10,                 1.1193,                 1.3088,                 1.7511,                0.38638,                0.40148,                0.33287,                0.11793,                 2.3026,                 2.1869,                 3.3617,               0.006436,               0.006436,               0.006436
                     11,                 1.1037,                 1.2408,                 1.7406,                0.55163,                0.52778,                0.53238,                0.19766,                 1.9489,                 1.8211,                 2.7622,                0.00604,                0.00604,                0.00604
                     12,                 1.0923,                 1.2731,                  1.727,                 0.3885,                0.36561,                0.24212,                0.10298,                 2.3797,                 2.6711,                 3.4967,               0.005644,               0.005644,               0.005644
                     13,                 1.0412,                 1.1827,                 1.6824,                0.71451,                0.50545,                0.61942,                0.24411,                 1.9216,                 1.5912,                 2.6462,               0.005248,               0.005248,               0.005248
                     14,                 1.0346,                 1.1356,                 1.6828,                0.46496,                0.59444,                0.52991,                0.23649,                 1.9675,                   1.65,                 2.8619,               0.004852,               0.004852,               0.004852
                     15,                 1.4494,                 1.2272,                 1.9992,                0.74392,                0.44994,                0.55154,                0.26265,                 1.9625,                 1.9355,                  2.975,               0.004456,               0.004456,               0.004456
                     16,                 1.3789,                 1.1321,                 1.9577,                0.67439,                0.71771,                0.64497,                0.32404,                 1.7869,                 1.4106,                 2.6217,                0.00406,                0.00406,                0.00406
                     17,                   1.39,                 1.1026,                 1.9547,                0.76667,                0.77332,                0.77304,                0.34598,                  1.871,                  1.238,                 2.5744,               0.003664,               0.003664,               0.003664
                     18,                 1.3294,                 1.0114,                 1.8638,                0.73211,                0.72778,                0.76007,                0.36999,                 1.8114,                 1.2224,                 2.6994,               0.003268,               0.003268,               0.003268
                     19,                  1.297,                 0.9773,                 1.8152,                0.69848,                0.49803,                0.57641,                0.27868,                 1.7983,                 1.5312,                 2.6863,               0.002872,               0.002872,               0.002872
                     20,                 1.2026,                 0.9032,                 1.7806,                0.84515,                0.72081,                0.76551,                0.40265,                 1.6616,                 1.2159,                 2.5311,               0.002476,               0.002476,               0.002476
                     21,                  1.222,                0.89469,                 1.7904,                0.63494,                0.61111,                0.62438,                 0.3223,                 1.7151,                 1.4055,                 2.5804,                0.00208,                0.00208,                0.00208
                     22,                 1.1971,                0.84988,                 1.7508,                0.71413,                0.76111,                 0.8008,                0.45449,                 1.5912,                 1.0872,                 2.4369,               0.001684,               0.001684,               0.001684
                     23,                 1.1769,                0.81219,                 1.7406,                0.80065,                 0.6366,                0.71653,                0.41609,                 1.4913,                 1.0823,                 2.3739,               0.001288,               0.001288,               0.001288
                     24,                 1.1282,                 0.7863,                 1.6887,                 0.7421,                0.78547,                0.78496,                0.42319,                    1.6,                 1.0278,                 2.4329,               0.000892,               0.000892,               0.000892
